_id,Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Other installment plans,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
377,Yes,0 <= ... < 200 DM,27,delay in paying off in the past,car (used),5965,< 100 DM,>= 7 years,1,male : single,none,2,car or other,30,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
378,Yes,0 <= ... < 200 DM,15,existing credits paid back duly till now,repairs,1514,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,guarantor,2,real estate,22,none,own,1,skilled employee / official,1,No,Yes
379,Yes,no checking account,30,critical account/ other credits existing (not at this bank),radio/television,6742,unknown/ no savings account,4 <= ... < 7 years,2,male : single,none,3,building society savings agreement/ life insurance,36,none,own,2,skilled employee / official,1,No,Yes
380,Yes,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,3650,< 100 DM,< 1 year,1,female : divorced/separated/married,none,4,car or other,22,none,rent,1,skilled employee / official,1,No,Yes
381,Yes,... < 0 DM,21,existing credits paid back duly till now,furniture/equipment,3599,< 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,car or other,26,none,rent,1,unskilled - resident,1,No,Yes
382,Yes,no checking account,60,critical account/ other credits existing (not at this bank),car (new),13756,unknown/ no savings account,>= 7 years,2,male : single,none,4,unknown / no property,63,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
383,Yes,0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),276,< 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,22,none,rent,1,unskilled - resident,1,No,Yes
384,Yes,no checking account,42,critical account/ other credits existing (not at this bank),furniture/equipment,4041,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee / official,1,Yes,Yes
385,Yes,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,458,< 100 DM,1 <= ... < 4 years,4,male : single,none,3,real estate,24,none,own,1,skilled employee / official,1,No,Yes
386,No,0 <= ... < 200 DM,9,existing credits paid back duly till now,furniture/equipment,918,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,No,Yes
387,Yes,no checking account,24,existing credits paid back duly till now,car (new),7393,< 100 DM,1 <= ... < 4 years,1,male : single,none,4,building society savings agreement/ life insurance,43,none,own,1,unskilled - resident,2,No,Yes
388,Yes,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,domestic appliances,1225,< 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,37,none,own,1,skilled employee / official,1,Yes,Yes
389,Yes,... < 0 DM,24,existing credits paid back duly till now,car (used),2812,unknown/ no savings account,>= 7 years,2,female : divorced/separated/married,none,4,real estate,26,none,rent,1,skilled employee / official,1,No,Yes
390,Yes,no checking account,15,existing credits paid back duly till now,car (used),3029,< 100 DM,4 <= ... < 7 years,2,male : single,none,2,car or other,33,none,own,1,skilled employee / official,1,No,Yes
391,Yes,... >= 200 DM / salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car (new),1480,500 <= ... < 1000 DM,unemployed,2,male : single,none,4,unknown / no property,66,bank,for free,3,unemployed/ unskilled - non-resident,1,No,Yes
392,Yes,... >= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),education,1047,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,50,none,own,1,unskilled - resident,1,No,Yes
393,Yes,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1471,< 100 DM,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,35,none,for free,2,skilled employee / official,1,Yes,Yes
394,Yes,no checking account,24,existing credits paid back duly till now,furniture/equipment,5511,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,1,car or other,25,stores,own,1,skilled employee / official,1,No,Yes
395,Yes,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,1206,< 100 DM,>= 7 years,4,female : divorced/separated/married,none,4,real estate,25,none,own,1,skilled employee / official,1,No,Yes
396,Yes,0 <= ... < 200 DM,24,delay in paying off in the past,radio/television,6403,< 100 DM,< 1 year,1,male : single,none,2,car or other,33,none,own,1,skilled employee / official,1,No,Yes
397,Yes,no checking account,12,existing credits paid back duly till now,radio/television,707,< 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,30,bank,own,2,skilled employee / official,1,No,Yes
398,Yes,no checking account,12,delay in paying off in the past,car (used),1503,< 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,41,none,rent,1,skilled employee / official,1,No,Yes
399,Yes,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),6078,< 100 DM,4 <= ... < 7 years,2,male : single,none,2,car or other,32,none,own,1,skilled employee / official,1,No,Yes
400,Yes,0 <= ... < 200 DM,27,existing credits paid back duly till now,business,2528,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,2,Yes,Yes
401,Yes,0 <= ... < 200 DM,12,existing credits paid back duly till now,business,1037,100 <= ... < 500 DM,4 <= ... < 7 years,3,male : single,none,4,real estate,39,none,own,1,unskilled - resident,1,No,Yes
402,Yes,... < 0 DM,6,existing credits paid back duly till now,car (used),1352,500 <= ... < 1000 DM,unemployed,1,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,23,none,rent,1,unemployed/ unskilled - non-resident,1,Yes,Yes
403,Yes,no checking account,24,existing credits paid back duly till now,radio/television,3181,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,Yes,Yes
404,Yes,no checking account,18,existing credits paid back duly till now,radio/television,4594,< 100 DM,< 1 year,3,male : single,none,2,car or other,32,none,own,1,skilled employee / official,1,Yes,Yes
405,Yes,0 <= ... < 200 DM,48,existing credits paid back duly till now,others,5381,unknown/ no savings account,unemployed,3,male : single,none,4,unknown / no property,40,bank,for free,1,unemployed/ unskilled - non-resident,1,Yes,Yes
406,Yes,no checking account,15,existing credits paid back duly till now,car (used),4657,< 100 DM,1 <= ... < 4 years,3,male : single,none,2,car or other,30,none,own,1,skilled employee / official,1,Yes,Yes
407,Yes,0 <= ... < 200 DM,9,existing credits paid back duly till now,business,1391,< 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,1,real estate,27,bank,own,1,skilled employee / official,1,Yes,Yes
408,Yes,0 <= ... < 200 DM,18,existing credits paid back duly till now,business,1913,>= 1000 DM,< 1 year,3,male : married/widowed,none,3,real estate,36,bank,own,1,skilled employee / official,1,Yes,Yes
409,Yes,no checking account,42,existing credits paid back duly till now,radio/television,7166,unknown/ no savings account,4 <= ... < 7 years,2,male : married/widowed,none,4,building society savings agreement/ life insurance,29,none,rent,1,skilled employee / official,1,Yes,Yes
410,Yes,no checking account,13,existing credits paid back duly till now,radio/television,1409,100 <= ... < 500 DM,unemployed,2,female : divorced/separated/married,none,4,real estate,64,none,own,1,skilled employee / official,1,No,Yes
411,Yes,no checking account,24,delay in paying off in the past,business,2978,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,real estate,32,none,own,2,skilled employee / official,2,Yes,Yes
412,Yes,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,976,unknown/ no savings account,>= 7 years,4,male : single,none,4,car or other,35,none,own,2,skilled employee / official,1,No,Yes
413,Yes,no checking account,24,delay in paying off in the past,business,2375,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,44,none,own,2,skilled employee / official,2,Yes,Yes
414,Yes,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,522,500 <= ... < 1000 DM,>= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,42,none,own,2,skilled employee / official,2,Yes,Yes
415,Yes,no checking account,28,critical account/ other credits existing (not at this bank),radio/television,2743,< 100 DM,>= 7 years,4,male : single,none,2,car or other,29,none,own,2,skilled employee / official,1,No,Yes
416,Yes,no checking account,11,critical account/ other credits existing (not at this bank),radio/television,1154,100 <= ... < 500 DM,unemployed,4,female : divorced/separated/married,none,4,real estate,57,none,own,3,unskilled - resident,1,No,Yes
417,Yes,no checking account,24,critical account/ other credits existing (not at this bank),car (used),5804,>= 1000 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,27,none,own,2,skilled employee / official,1,No,Yes
418,Yes,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,3,building society savings agreement/ life insurance,29,none,own,2,skilled employee / official,1,Yes,Yes
419,Yes,... < 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,1478,< 100 DM,>= 7 years,4,male : single,none,4,car or other,44,none,own,2,skilled employee / official,2,Yes,Yes
420,Yes,no checking account,12,existing credits paid back duly till now,radio/television,776,< 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,real estate,28,none,own,1,skilled employee / official,1,No,Yes
421,Yes,0 <= ... < 200 DM,11,critical account/ other credits existing (not at this bank),car (new),1322,>= 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,40,none,own,2,skilled employee / official,1,No,Yes
422,Yes,0 <= ... < 200 DM,16,critical account/ other credits existing (not at this bank),car (new),1175,< 100 DM,unemployed,2,male : single,none,3,car or other,68,none,for free,3,unemployed/ unskilled - non-resident,1,Yes,Yes
423,Yes,no checking account,12,existing credits paid back duly till now,car (new),2133,unknown/ no savings account,>= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,52,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
424,Yes,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1829,< 100 DM,>= 7 years,4,male : single,none,4,car or other,46,none,own,2,skilled employee / official,1,Yes,Yes
425,Yes,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,717,< 100 DM,>= 7 years,4,male : single,none,4,real estate,52,none,own,3,skilled employee / official,1,No,Yes
426,Yes,0 <= ... < 200 DM,39,delay in paying off in the past,education,11760,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,none,3,unknown / no property,32,none,rent,1,skilled employee / official,1,Yes,Yes
427,No,0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),education,1501,< 100 DM,>= 7 years,2,female : divorced/separated/married,none,3,car or other,34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
428,Yes,... < 0 DM,12,existing credits paid back duly till now,education,1200,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,23,bank,rent,1,skilled employee / official,1,Yes,Yes
429,Yes,0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),3195,unknown/ no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,real estate,33,none,own,1,unskilled - resident,1,No,Yes
430,Yes,no checking account,30,critical account/ other credits existing (not at this bank),radio/television,4530,< 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,car or other,26,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,Yes,Yes
431,No,no checking account,12,delay in paying off in the past,repairs,1555,>= 1000 DM,>= 7 years,4,male : single,none,4,unknown / no property,55,none,for free,2,skilled employee / official,2,No,Yes
432,Yes,0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),business,2326,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,4,car or other,27,bank,own,1,skilled employee / official,1,No,Yes
433,Yes,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),business,1887,unknown/ no savings account,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,28,bank,own,2,skilled employee / official,1,No,Yes
